year,region,week,production_tons
1984,Alabama,1,349804
1984,Alaska,1,13954
1984,Appalachia,1,5905955
1984,Arizona,1,195300
1984,Arkansas,1,733
1984,Colorado,1,304944
1984,East of Mississippi,1,7841154
1984,Georgia,1,2439
1984,Illinois,1,854464
1984,Indiana,1,495483
1984,Interior,1,2716034
1984,Iowa,1,6675
1984,Kansas,1,20773
1984,Kentucky-East,1,1518166
1984,Kentucky-Total,1,2103418
1984,Kentucky-West,1,585252
1984,Maryland,1,59607
1984,Missouri,1,95636
1984,Montana,1,530541
1984,New_Mexico,1,365378
1984,North_Dakota,1,339633
1984,Ohio,1,540501
1984,Oklahoma,1,58454
1984,Penn-Anthracite,1,56480
1984,Penn-Bituminous,1,877423
1984,Penn-Total,1,933903
1984,Tennessee,1,89933
1984,Texas,1,598564
1984,US Total,1,12791946
1984,Utah,1,243450
1984,Virginia,1,546289
1984,Washington,1,58068
1984,West of Mississippi,1,4950792
1984,West_Virginia,1,1865313
1984,Western,1,4169957
1984,Wyoming,1,2118689
1984,Alabama,2,472144
1984,Alaska,2,18315
1984,Appalachia,2,8341463
1984,Arizona,2,255724
1984,Arkansas,2,1466
1984,Colorado,2,318382
1984,East of Mississippi,2,10883873
1984,Georgia,2,4064
1984,Illinois,2,1120777
1984,Indiana,2,604124
1984,Interior,2,3555601
1984,Iowa,2,9535
1984,Kansas,2,23741
1984,Kentucky-East,2,2120214
1984,Kentucky-Total,2,2937723
1984,Kentucky-West,2,817509
1984,Maryland,2,71749
1984,Missouri,2,125062
1984,Montana,2,639799
1984,New_Mexico,2,425630
1984,North_Dakota,2,399568
1984,Ohio,2,705452
1984,Oklahoma,2,71162
1984,Penn-Anthracite,2,74129
1984,Penn-Bituminous,2,1452610
1984,Penn-Total,2,1526739
1984,Tennessee,2,122793
1984,Texas,2,782225
1984,US Total,2,16798401
1984,Utah,2,252590
1984,Virginia,2,738732
1984,Washington,2,75936
1984,West of Mississippi,2,5914528
1984,West_Virginia,2,2579576
1984,Western,2,4901337
1984,Wyoming,2,2515393
1984,Alabama,3,473051
1984,Alaska,3,16570
1984,Appalachia,3,7940906
1984,Arizona,3,229828
1984,Arkansas,3,1466
1984,Colorado,3,308045
1984,East of Mississippi,3,10284321
1984,Georgia,3,3251
1984,Illinois,3,1003558
1984,Indiana,3,586864
1984,Interior,3,3243090
1984,Iowa,3,8582
1984,Kansas,3,17806
1984,Kentucky-East,3,1951099
1984,Kentucky-Total,3,2704092
1984,Kentucky-West,3,752993
1984,Maryland,3,83891
1984,Missouri,3,116480
1984,Montana,3,465577
1984,New_Mexico,3,436445
1984,North_Dakota,3,298677
1984,Ohio,3,708564
1984,Oklahoma,3,52100
1984,Penn-Anthracite,3,66187
1984,Penn-Bituminous,3,1192546
1984,Penn-Total,3,1258733
1984,Tennessee,3,126252
1984,Texas,3,703241
1984,US Total,3,15095032
1984,Utah,3,236803
1984,Virginia,3,694242
1984,Washington,3,68789
1984,West of Mississippi,3,4810711
1984,West_Virginia,3,2641823
1984,Western,3,3911036
1984,Wyoming,3,1850302
1984,Alabama,4,503862
1984,Alaska,4,18315
1984,Appalachia,4,8206587
1984,Arizona,4,255724
1984,Arkansas,4,1099
1984,Colorado,4,342158
1984,East of Mississippi,4,10870541
1984,Georgia,4,4064
1984,Illinois,4,1231826
1984,Indiana,4,657937
1984,Interior,4,3680441
1984,Iowa,4,9535
1984,Kansas,4,25225
1984,Kentucky-East,4,2007148
1984,Kentucky-Total,4,2781339
1984,Kentucky-West,4,774191
1984,Maryland,4,84995
1984,Missouri,4,126289
1984,Montana,4,643736
1984,New_Mexico,4,437217
1984,North_Dakota,4,410556
1984,Ohio,4,767698
1984,Oklahoma,4,71162
1984,Penn-Anthracite,4,74129
1984,Penn-Bituminous,4,1292120
1984,Penn-Total,4,1366249
1984,Tennessee,4,134034
1984,Texas,4,783177
1984,US Total,4,16800242
1984,Utah,4,259237
1984,Virginia,4,729420
1984,Washington,4,75936
1984,West of Mississippi,4,5929701
1984,West_Virginia,4,2609117
1984,Western,4,4913214
1984,Wyoming,4,2470335
1984,Alabama,5,533768
1984,Alaska,5,19187
1984,Appalachia,5,8431604
1984,Arizona,5,265435
1984,Arkansas,5,1465
1984,Colorado,5,334921
1984,East of Mississippi,5,11296294
1984,Georgia,5,4065
1984,Illinois,5,1352130
1984,Indiana,5,700581
1984,Interior,5,3917391
1984,Iowa,5,9535
1984,Kansas,5,25225
1984,Kentucky-East,5,2102819
1984,Kentucky-Total,5,2914798
1984,Kentucky-West,5,811979
1984,Maryland,5,78405
1984,Missouri,5,126288
1984,Montana,5,668343
1984,New_Mexico,5,422540
1984,North_Dakota,5,427538
1984,Ohio,5,753174
1984,Oklahoma,5,75609
1984,Penn-Anthracite,5,67174
1984,Penn-Bituminous,5,1348303
1984,Penn-Total,5,1415477
1984,Tennessee,5,142682
1984,Texas,5,814579
1984,US Total,5,17380723
1984,Utah,5,256744
1984,Virginia,5,733559
1984,Washington,5,79509
1984,West of Mississippi,5,6084429
1984,West_Virginia,5,2667655
1984,Western,5,5031728
1984,Wyoming,5,2557511
1984,Alabama,6,492082
1984,Alaska,6,19187
1984,Appalachia,6,8647953
1984,Arizona,6,266514
1984,Arkansas,6,1466
1984,Colorado,6,376270
1984,East of Mississippi,6,11412794
1984,Georgia,6,4064
1984,Illinois,6,1293520
1984,Indiana,6,673167
1984,Interior,6,3819647
1984,Iowa,6,9535
1984,Kansas,6,23741
1984,Kentucky-East,6,2066097
1984,Kentucky-Total,6,2864251
